impath,imdesc
/data/samplebooks/img/scaled/5410t.jpg,1
/data/samplebooks/img/scaled/5544i.jpg,1
/data/samplebooks/img/scaled/5473xx.jpg,1
/data/samplebooks/img/scaled/4787g.jpg,1
/data/samplebooks/img/scaled/5533e.jpg,1
/data/samplebooks/img/scaled/291d.jpg,2
/data/samplebooks/img/scaled/904b.jpg,4
/data/samplebooks/img/scaled/2141h.jpg,2
/data/samplebooks/img/scaled/3199x.jpg,1
/data/samplebooks/img/scaled/5524i.jpg,1
/data/samplebooks/img/scaled/2372i.jpg,1
/data/samplebooks/img/scaled/4913a.jpg,1
/data/samplebooks/img/scaled/5490l.jpg,2
/data/samplebooks/img/scaled/5522ii.jpg,1
/data/samplebooks/img/scaled/5609c.jpg,6
/data/samplebooks/img/scaled/2075o.jpg,2
/data/samplebooks/img/scaled/2142g.jpg,2
/data/samplebooks/img/scaled/285a.jpg,1
/data/samplebooks/img/scaled/5464x.jpg,1
/data/samplebooks/img/scaled/3213o.jpg,2
/data/samplebooks/img/scaled/2084gg.jpg,1
/data/samplebooks/img/scaled/5496b.jpg,2
/data/samplebooks/img/scaled/5490f.jpg,5
/data/samplebooks/img/scaled/304h.jpg,1
/data/samplebooks/img/scaled/5521ff.jpg,1
/data/samplebooks/img/scaled/877g.jpg,1
/data/samplebooks/img/scaled/5532q.jpg,1
/data/samplebooks/img/scaled/5301m.jpg,1
/data/samplebooks/img/scaled/3202e.jpg,2
/data/samplebooks/img/scaled/5539f.jpg,1
/data/samplebooks/img/scaled/5513q.jpg,1
/data/samplebooks/img/scaled/2647c.jpg,1
/data/samplebooks/img/scaled/5407g.jpg,2
/data/samplebooks/img/scaled/5499o.jpg,2
/data/samplebooks/img/scaled/1880i.jpg,3
/data/samplebooks/img/scaled/4786h.jpg,1
/data/samplebooks/img/scaled/2641l.jpg,1
/data/samplebooks/img/scaled/2078c.jpg,1
/data/samplebooks/img/scaled/1882r.jpg,1
/data/samplebooks/img/scaled/901nn.jpg,1
/data/samplebooks/img/scaled/2372n.jpg,1
